	SRR20324018	SRR20324019	SRR20324024	SRR20324025	SRR20324038	SRR20324041	SRR20324044	SRR20324045	SRR5894154	SRR5894155	SRR5894156	SRR5894157	SRR5894158	SRR5894159	SRR7137947	SRR7137949	SRR7137951	SRR7137953	SRR7137955	SRR7137957
ENSG00000000003.15	797.0	554.0	964.0	1024.0	852.0	467.0	635.0	844.0	443.0	561.0	3410.0	3008.0	1029.0	2164.0	583.22	820.0	1131.99	699.0	1015.74	783.0
ENSG00000000005.6	12.0	11.0	31.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	2.0	0.0	0.0	0.0
ENSG00000000419.14	768.0	529.0	727.84	845.0	1089.29	594.45	838.37	1017.8	1809.0	1072.0	897.83	884.08	500.52	726.96	1425.42	850.92	1038.37	1803.61	782.3	538.3
ENSG00000000457.14	136.06	104.66	156.27	152.08	182.89	102.18	183.97	169.8	381.42	309.43	397.47	284.75	267.4	200.76	285.75	409.59	493.27	369.43	311.0	344.47
ENSG00000000460.17	542.94	529.34	547.73	631.92	500.11	266.82	376.03	548.2	807.58	516.57	496.53	564.25	328.6	375.24	501.56	540.73	671.54	580.66	283.98	229.4
ENSG00000000938.13	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	19.0	2.0	0.0	3.0	0.0	3.0	1.0	1.0	1.0	0.0	1.0	0.0
ENSG00000000971.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	2.0	1475.53	0.0	1.0	194.1	19.0	2.0
ENSG00000001036.14	1467.93	1143.0	1335.91	1350.96	1850.87	995.92	1442.99	1758.7	775.63	1200.87	1261.17	1644.77	1613.69	1384.66	1542.51	1863.28	1547.65	866.82	1542.18	484.3
ENSG00000001084.13	565.0	621.0	628.0	588.0	600.0	300.0	478.0	571.0	1354.9	570.94	824.93	860.0	861.8	647.0	409.38	853.48	261.34	212.35	494.02	241.42
ENSG00000001167.15	552.98	547.0	555.0	625.0	961.93	587.0	749.97	979.63	663.0	423.85	585.41	294.59	538.68	273.0	583.77	2245.93	984.35	509.1	653.81	408.65
ENSG00000001460.18	65.0	99.0	41.0	59.0	23.0	19.0	28.0	41.0	334.0	183.0	117.0	209.0	121.0	237.0	277.34	114.06	58.1	204.35	69.73	71.09
ENSG00000001461.17	541.0	471.0	440.0	416.0	320.0	167.0	218.0	266.0	1259.0	357.0	792.0	665.0	811.0	922.0	830.66	315.97	506.25	656.97	568.72	300.77
ENSG00000001497.18	1007.0	860.0	1096.0	1125.0	1698.0	924.0	1364.0	1689.0	2613.0	1238.0	1597.0	1559.0	1548.0	1167.0	957.96	2376.06	1765.04	693.81	576.88	535.82
ENSG00000001561.7	0.0	0.0	0.0	0.0	12.0	6.0	3.0	0.0	1928.0	1630.0	1.0	3.0	0.0	0.0	219.0	0.0	1.0	134.0	9.0	0.0
ENSG00000001617.12	1.0	9.0	5.0	4.0	0.0	4.0	0.0	0.0	8.0	6.0	2.0	7.0	21.0	8.0	7.0	62.0	21.0	8.0	2.0	17.0
ENSG00000001626.16	2.0	0.0	2.0	0.0	3.0	1.0	0.0	0.0	18.0	5.0	2.0	3.0	1.0	0.0	10.0	27.0	17.71	6.0	6.0	14.0
ENSG00000001629.10	2022.95	2215.0	1713.0	1704.0	1979.93	1176.0	1454.0	1816.0	4035.0	2214.0	2157.78	2165.9	1924.0	2099.96	2901.19	2601.72	3787.94	3603.86	3703.25	3901.29
ENSG00000001630.17	2063.0	1920.0	2043.0	2143.88	3849.22	2254.0	2999.0	3747.0	24251.79	5797.88	4863.94	3490.89	2338.99	2059.21	6438.48	6924.38	12865.09	3421.11	3534.81	5372.85
ENSG00000001631.16	592.17	620.18	668.39	593.65	823.02	494.72	648.74	997.09	1817.65	964.1	1312.46	872.83	842.0	716.67	1099.82	1185.07	1578.74	1203.8	954.36	1348.92
ENSG00000002016.18	213.0	100.44	138.0	165.0	247.0	146.0	184.0	267.0	426.77	267.59	494.23	355.94	275.12	283.0	352.46	827.5	554.8	310.0	561.21	278.13
